Sensor,BandNumber,BandCenter,BandwidthLow,BandwidthHigh,Resolution
WorldView-3 MS,Blue,0.48,0.45,0.51,1.24
WorldView-3 CAVIS,Aerosol-1,0.484,0.459,0.509,30
WorldView-3 MS,Green,0.545,0.51,0.58,1.24
WorldView-3 CAVIS,Green,0.555,0.525,0.585,30
WorldView-3 MS,Yellow,0.605,0.585,0.625,1.24
WorldView-3 CAVIS,Aerosol-2,0.645,0.62,0.67,30
WorldView-3 MS,Red,0.66,0.63,0.69,1.24
WorldView-3 MS,Red Edge,0.725,0.705,0.745,1.24
WorldView-3 MS,Near-IR1,0.8325,0.77,0.895,1.24
WorldView-3 CAVIS,Water-1,0.865,0.845,0.885,30
WorldView-3 MS,Near-IR2,0.95,0.86,1.04,1.24
WorldView-3 CAVIS,Water-2,0.912,0.897,0.927,30
WorldView-3 CAVIS,Water-3,0.9475,0.93,0.965,30
WorldView-3 SWIR,SWIR-1,1.21,1.195,1.225,3.7
WorldView-3 CAVIS,NDVI-SWIR,1.236,1.22,1.252,30
WorldView-3 CAVIS,Cirrus,1.38,1.35,1.41,30
WorldView-3 SWIR,SWIR-2,1.57,1.55,1.59,3.7
WorldView-3 CAVIS,Snow,1.65,1.62,1.68,30
WorldView-3 SWIR,SWIR-3,1.66,1.64,1.68,3.7
WorldView-3 SWIR,SWIR-4,1.73,1.71,1.75,3.7
WorldView-3 CAVIS,Aerosol-3,2.175,2.105,2.245,30
WorldView-3 CAVIS,Aerosol-3,2.175,2.105,2.245,30
WorldView-3 SWIR,SWIR-5,2.165,2.145,2.185,3.7
WorldView-3 SWIR,SWIR-6,2.205,2.185,2.225,3.7
WorldView-3 SWIR,SWIR-7,2.26,2.235,2.285,3.7
WorldView-3 SWIR,SWIR-8,2.33,2.295,2.365,3.7
MSI (Sentinel-2),1,0.443,0.433,0.453,60
MSI (Sentinel-2),2,0.49,0.4575,0.5225,10
MSI (Sentinel-2),3,0.56,0.5425,0.5775,10
MSI (Sentinel-2),4,0.665,0.65,0.68,10
MSI (Sentinel-2),5,0.705,0.6975,0.7125,20
MSI (Sentinel-2),6,0.74,0.7325,0.7475,20
MSI (Sentinel-2),7,0.783,0.773,0.793,20
MSI (Sentinel-2),8,0.842,0.7845,0.8995,10
MSI (Sentinel-2),9,0.865,0.855,0.875,20
MSI (Sentinel-2),10,0.945,0.935,0.955,60
MSI (Sentinel-2),11,1.375,1.365,1.385,60
MSI (Sentinel-2),12,1.61,1.565,1.655,20
MSI (Sentinel-2),13,2.19,2.1,2.28,20
OLCI (Sentinel-3),1,0.4,0.395,0.405,300
OLCI (Sentinel-3),2,0.4125,0.4075,0.4175,300
OLCI (Sentinel-3),3,0.4425,0.4375,0.4475,300
OLCI (Sentinel-3),4,0.49,0.485,0.495,300
OLCI (Sentinel-3),5,0.51,0.505,0.515,300
OLCI (Sentinel-3),6,0.56,0.555,0.565,300
OLCI (Sentinel-3),7,0.62,0.615,0.625,300
OLCI (Sentinel-3),8,0.665,0.66,0.67,300
OLCI (Sentinel-3),9,0.67375,0.67,0.6775,300
OLCI (Sentinel-3),10,0.68125,0.6775,0.685,300
OLCI (Sentinel-3),11,0.70825,0.70325,0.71325,300
OLCI (Sentinel-3),12,0.75375,0.75,0.7575,300
OLCI (Sentinel-3),13,0.76125,0.76,0.7625,300
OLCI (Sentinel-3),14,0.764375,0.7625,0.76625,300
OLCI (Sentinel-3),15,0.7675,0.76625,0.76875,300
OLCI (Sentinel-3),16,0.77875,0.77125,0.78625,300
OLCI (Sentinel-3),17,0.865,0.855,0.875,300
OLCI (Sentinel-3),18,0.885,0.88,0.89,300
OLCI (Sentinel-3),19,0.9,0.895,0.905,300
OLCI (Sentinel-3),20,0.94,0.93,0.95,300
OLCI (Sentinel-3),21,1.02,1,1.04,300
SLSTR (Sentinel-3),1,0.555,0.545,0.565,500
SLSTR (Sentinel-3),2,0.659,0.649,0.669,500
SLSTR (Sentinel-3),3,0.865,0.855,0.875,500
SLSTR (Sentinel-3),4,1.375,1.3675,1.3825,500
SLSTR (Sentinel-3),5,1.61,1.58,1.64,500
SLSTR (Sentinel-3),6,2.25,2.225,2.275,500
SLSTR (Sentinel-3),7,3.74,3.55,3.93,500
SLSTR (Sentinel-3),8,3.74,3.55,3.93,500
SLSTR (Sentinel-3),9,10.85,10.4,11.3,1000
SLSTR (Sentinel-3),10,10.85,10.4,11.3,1000
SLSTR (Sentinel-3),11,12,11.5,12.5,1000
AVHRR,1,0.615,0.55,0.68,1100
AVHRR,2,0.912,0.725,1.1,1100
AVHRR,3,3.74,3.55,3.93,1100
AVHRR,4,11,10.5,11.5,1100
AVHRR/2,1,0.615,0.55,0.68,1100
AVHRR/2,2,0.912,0.725,1.1,1100
AVHRR/2,3,3.74,3.55,3.93,1100
AVHRR/2,4,10.8,10.3,11.3,1100
AVHRR/2,5,12,11.5,12.5,1100
AVHRR/3,1,0.63,0.58,0.68,1100
AVHRR/3,2,0.862,0.725,1,1100
AVHRR/3,3A,1.61,1.58,1.64,1100
AVHRR/3,3B,3.74,3.55,3.93,1100
AVHRR/3,4,10.8,10.3,11.3,1100
AVHRR/3,5,12,11.5,12.5,1100
